Country/Region/World,ISO,Sex,Year,Mean BMI,Mean BMI lower 95% uncertainty interval,Mean BMI upper 95% uncertainty interval,Prevalence of BMI>=30 kg/m² (obesity),Prevalence of BMI>=30 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=30 kg/m² upper 95% uncertainty interval,Prevalence of BMI>=35 kg/m² (severe obesity),Prevalence of BMI>=35 kg/m² lower 95% uncertainty interval,Prevalence of BMI>=35 kg/m² upper 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² (underweight),Prevalence of BMI<18.5 kg/m² lower 95% uncertainty interval,Prevalence of BMI<18.5 kg/m² upper 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m²,Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval,Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m²,Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval,Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m²,Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval,Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m²,Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval,Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m²,Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval,Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval,Prevalence of BMI >=40 kg/m²(morbid obesity),Prevalence of BMI >=40 kg/m² lower 95% uncertainty interval,Prevalence of BMI >=40 kg/m² upper 95% uncertainty interval
Italy,ITA,Men,1985,25.0470042323129,24.5873754148287,25.4989964346981,0.0941753756748593,0.0710599398009979,0.121405426720061,0.00659748961544333,0.00360532797693333,0.0109095046396613,0.00947758994709533,0.00557202850682398,0.0148137534895988,0.0344729198797204,0.0237587823819226,0.0474081305492134,0.446521331932334,0.398425181123528,0.494403068329548,0.415352782665991,0.369253035778395,0.462386745715935,0.0875778860594159,0.0643633561078246,0.114447630816675,0.00631542385030986,0.00336703557417966,0.0106062370549822,0.000282065765133463,9.54434172384813e-05,0.000641334171925359
Italy,ITA,Men,1986,25.1038996799115,24.6844144605493,25.5175026912688,0.0971967406791374,0.0742110478859044,0.124274830229291,0.00709504698876154,0.00397238431867963,0.0115182079654849,0.00919415702675507,0.0054831856584477,0.0141718738390237,0.0335269556476475,0.023370199319282,0.0456203824655189,0.441882409357002,0.395489969493554,0.487843374667108,0.418199737389458,0.373869868310024,0.464248380961916,0.0901016936903759,0.0670690709771287,0.116913479906679,0.00677597132912561,0.00369430256289319,0.0112346341167941,0.000319075659635923,0.0001127937149446,0.000703807936921804
Italy,ITA,Men,1987,25.1610506797264,24.7817495105221,25.5458853617954,0.100268091675361,0.077395140328442,0.12715074187398,0.00762669000115733,0.0043732413895983,0.0121569547365173,0.00892301280202573,0.00537992546697431,0.0136399619826441,0.0326102434120365,0.0228962544657098,0.0441762887125978,0.437269875443911,0.392192371753907,0.481566483530521,0.420928776766665,0.377083658180212,0.465564322424242,0.0926414016742041,0.0696241638329006,0.11904669631998,0.00726535653757734,0.00404753597320319,0.0117979949585384,0.000361333463579996,0.000132936007150627,0.00077445548149272
Italy,ITA,Men,1988,25.2201090578694,24.8674888775712,25.5826501896103,0.103399088558641,0.0805628686806755,0.129770179958956,0.00819094039888891,0.00482923861397896,0.0127824126088576,0.00866148989436604,0.00525339598254295,0.0130889290632614,0.0317276482835262,0.0224918239927205,0.0429034561551999,0.432680228773757,0.389513656637263,0.475589537891063,0.42353154458971,0.380622541308727,0.467097128664797,0.0952081481597521,0.0722577855509187,0.121489069250765,0.00778119844197508,0.00442792364709423,0.012473885093087,0.000409741956913836,0.000157820856336118,0.000858713157960438
Italy,ITA,Men,1989,25.2811963138998,24.940207236609,25.6257825351375,0.106576366428088,0.0835716792542689,0.132752247641477,0.00878935780428472,0.00527518891804016,0.0135653171056785,0.00840957266834815,0.00514430008680536,0.0127210180092724,0.0308718134624255,0.0220565074992096,0.0416118839391919,0.428102090085416,0.386245629812761,0.470432671830602,0.426040157455723,0.384316825136333,0.468936877076711,0.0977870086238031,0.074837064334294,0.123785325709177,0.00832424917461574,0.00483277692361902,0.013141787505066,0.000465108629668982,0.000183565237685752,0.000960253339846564
Italy,ITA,Men,1990,25.3443709695825,25.0166455679335,25.6715220099865,0.109809488095384,0.0865248380488135,0.135924432293303,0.00942071939196021,0.00573147133708079,0.0143377042662701,0.00816475723484031,0.00506080806984211,0.0123077048220322,0.0300378310332903,0.0215725712887921,0.0406428499136847,0.42351658835623,0.38225419636667,0.465054409015237,0.428471335380256,0.386719518553743,0.470757031924598,0.100388768703423,0.0773637487250643,0.126100662070064,0.00889239609832822,0.00526429898580932,0.0138648533535778,0.000528323293631989,0.000212501299027359,0.00106946502212436
Italy,ITA,Men,1991,25.4103659499436,25.0904679247589,25.7240484355989,0.113127653745426,0.0897826309263305,0.139198831812668,0.0100909014542912,0.00623381769218505,0.0152248733485755,0.00792179231252108,0.00492004614033681,0.0119017625586303,0.0292208524115108,0.0209502176821734,0.0394947557684732,0.418896480331647,0.378538013947766,0.459931817555069,0.430833221298896,0.389435764331247,0.471933516711746,0.103036752291135,0.0797281631005456,0.128690596316467,0.00949023863300893,0.00569138791675386,0.0146501696423559,0.000600662821282229,0.000247651957361653,0.00118616710454848
Italy,ITA,Men,1992,25.479779635857,25.172727436799,25.7808963598972,0.116524793028156,0.0929610394482163,0.142631160843153,0.0108006099783343,0.00674817482389116,0.0162374645143619,0.00767959317122052,0.00477012456749623,0.0115548837900644,0.0284213674303157,0.0205015932578665,0.038211115853811,0.414247336238131,0.374899815000557,0.454941361408935,0.433126910232178,0.391886543922945,0.473643160720395,0.105724183049821,0.0824302498462929,0.131710970664686,0.0101178230025594,0.00613427096427538,0.0155030807631148,0.000682786975774929,0.000286307054132709,0.00133874331022927
Italy,ITA,Men,1993,25.5529668691134,25.2520449183038,25.8490523662427,0.119994074204661,0.0963115493015017,0.146315698459706,0.011550147311104,0.00731062630455996,0.0172338504408972,0.00743757848435956,0.00461158362780597,0.0111406360271516,0.0276370882349293,0.0199600704768265,0.0370962557035547,0.409570782538727,0.371235965788316,0.450044373308857,0.435360476637323,0.394219603228565,0.475685455762902,0.108443926893557,0.0851627339779363,0.134892702344713,0.0107748828339098,0.00660964537512919,0.0163942106695299,0.000775264477194151,0.000328734670902484,0.001508008933791
Italy,ITA,Men,1994,25.6295215054371,25.3313793648204,25.9195109789824,0.12353633886616,0.0995843357113631,0.149920664877391,0.0123406944425618,0.00787600845565854,0.0183301851166694,0.00719516548927603,0.00448524628395342,0.0107787869566178,0.0268675205871406,0.0195078443863758,0.0361530787082134,0.404870241827681,0.366934000379477,0.444742233301586,0.437530733329743,0.396761995663912,0.477653800393826,0.111195644423598,0.0876922182747825,0.137721680362701,0.0114617234125276,0.00712316647237626,0.0173819936966189,0.000878971030034159,0.000374850884259105,0.0017120353389835
